Text Inputs : Specimen label,"S1.104M_LS_CONDYLE"
Notes : Specimen note 1,"Sheep, LS.

Tried testing on the condyle to verify that chipping the bone and gluing it back together does not effect the mechanical properties. Angle of the plane caused it to slip off and test to be void."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.41080,-63.64971,-0.49398,0.07427
0.41180,-63.65785,-0.48865,0.07345
0.41280,-63.66604,-0.48328,0.07263
0.41380,-63.67428,-0.47782,0.07179
0.41480,-63.68256,-0.47223,0.07093
0.41580,-63.69090,-0.46648,0.07005
0.41600,-63.69090,-0.46648,0.07005
0.41680,-63.69928,-0.46055,0.06915
0.41780,-63.70771,-0.45448,0.06822
0.41880,-63.71619,-0.44841,0.06729
0.41980,-63.72472,-0.44251,0.06639
0.42080,-63.73330,-0.43690,0.06553
0.42180,-63.74194,-0.43169,0.06474
0.42280,-63.75062,-0.42696,0.06401
0.42380,-63.75935,-0.42283,0.06338
0.42480,-63.76812,-0.41943,0.06285
0.42580,-63.77694,-0.41689,0.06246
0.42680,-63.78580,-0.41531,0.06221
0.42780,-63.79470,-0.41479,0.06211
0.42880,-63.80364,-0.41538,0.06219
0.42980,-63.81263,-0.41719,0.06244
0.43080,-63.82165,-0.42029,0.06289
0.43180,-63.83070,-0.42480,0.06355
0.43200,-63.83070,-0.42480,0.06355
0.43280,-63.83977,-0.43082,0.06443
0.43380,-63.84887,-0.43841,0.06555
0.43480,-63.85799,-0.44758,0.06691
0.43580,-63.86712,-0.45826,0.06848
0.43680,-63.87627,-0.47039,0.07028
0.43780,-63.88542,-0.48392,0.07228
0.43880,-63.89458,-0.49882,0.07449
0.43980,-63.90372,-0.51502,0.07689
0.44080,-63.91285,-0.53250,0.07948
0.44180,-63.92196,-0.55123,0.08225
0.44280,-63.93106,-0.57124,0.08522
0.44380,-63.94013,-0.59255,0.08838
0.44480,-63.94916,-0.61512,0.09172
0.44580,-63.95817,-0.63882,0.09523
0.44680,-63.96714,-0.66354,0.09889
0.44780,-63.97606,-0.68913,0.10268
0.44800,-63.97606,-0.68913,0.10268
0.44880,-63.98494,-0.71547,0.10658
0.44980,-63.99376,-0.74236,0.11055
