Text Inputs : Specimen label,"S1.104M_WoLS"
Notes : Specimen note 1,"Sheep cartilage, Medial, Without LS.

Bone cement hadn't fully hardened causing the bone to sink with compressive forces applied. Aborted test and waited."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.43880,-60.00254,-3.00603,0.42277
0.43980,-60.00329,-3.01307,0.42375
0.44080,-60.00404,-3.02014,0.42473
0.44180,-60.00479,-3.02711,0.42571
0.44280,-60.00555,-3.03399,0.42667
0.44380,-60.00631,-3.04089,0.42763
0.44480,-60.00706,-3.04790,0.42861
0.44580,-60.00782,-3.05499,0.42960
0.44680,-60.00857,-3.06205,0.43058
0.44780,-60.00932,-3.06897,0.43154
0.44800,-60.00932,-3.06897,0.43154
0.44880,-60.01008,-3.07572,0.43249
0.44980,-60.01083,-3.08238,0.43342
0.45080,-60.01159,-3.08908,0.43435
0.45180,-60.01234,-3.09588,0.43530
0.45280,-60.01309,-3.10282,0.43626
0.45380,-60.01385,-3.10982,0.43724
0.45480,-60.01460,-3.11683,0.43822
0.45580,-60.01536,-3.12385,0.43920
0.45680,-60.01611,-3.13093,0.44018
0.45780,-60.01686,-3.13814,0.44119
0.45880,-60.01762,-3.14549,0.44221
0.45980,-60.01837,-3.15297,0.44326
0.46080,-60.01913,-3.16054,0.44431
0.46180,-60.01988,-3.16813,0.44537
0.46280,-60.02063,-3.17564,0.44642
0.46380,-60.02139,-3.18309,0.44746
0.46400,-60.02139,-3.18309,0.44746
0.46480,-60.02214,-3.19051,0.44849
0.46580,-60.02290,-3.19793,0.44953
0.46680,-60.02365,-3.20536,0.45056
0.46780,-60.02441,-3.21276,0.45159
0.46880,-60.02517,-3.22005,0.45261
0.46980,-60.02592,-3.22715,0.45360
0.47080,-60.02667,-3.23405,0.45456
0.47180,-60.02743,-3.24084,0.45551
0.47280,-60.02818,-3.24763,0.45645
0.47380,-60.02894,-3.25450,0.45741
0.47480,-60.02969,-3.26142,0.45837
0.47580,-60.03044,-3.26827,0.45933
0.47680,-60.03120,-3.27500,0.46026
0.47780,-60.03195,-3.28162,0.46119
0.47880,-60.03271,-3.28826,0.46211
0.47980,-60.03346,-3.29505,0.46306
0.48000,-60.03346,-3.29505,0.46306
0.48080,-60.03421,-3.30210,0.46404
0.48180,-60.03497,-3.30936,0.46505
0.48280,-60.03573,-3.31673,0.46608
0.48380,-60.03650,-3.32407,0.46710
0.48480,-60.03726,-3.33141,0.46812
0.48580,-60.03802,-3.33884,0.46916
0.48680,-60.03878,-3.34644,0.47021
0.48780,-60.03954,-3.35423,0.47130
0.48880,-60.04030,-3.36216,0.47241
0.48980,-60.04106,-3.37010,0.47351
0.49080,-60.04182,-3.37795,0.47461
0.49180,-60.04258,-3.38567,0.47568
0.49280,-60.04334,-3.39328,0.47674
0.49380,-60.04410,-3.40088,0.47780
0.49480,-60.04486,-3.40848,0.47886
0.49580,-60.04562,-3.41606,0.47992
0.49600,-60.04562,-3.41606,0.47992
0.49680,-60.04638,-3.42353,0.48096
0.49780,-60.04714,-3.43085,0.48197
0.49880,-60.04790,-3.43798,0.48297
0.49980,-60.04866,-3.44496,0.48394
0.50080,-60.04942,-3.45189,0.48490
0.50180,-60.05018,-3.45888,0.48588
0.50280,-60.05095,-3.46601,0.48687
0.50380,-60.05171,-3.47324,0.48787
0.50480,-60.05247,-3.48047,0.48888
0.50580,-60.05323,-3.48766,0.48988
0.50680,-60.05399,-3.49484,0.49088
0.50780,-60.05475,-3.50213,0.49190
0.50880,-60.05551,-3.50963,0.49294
0.50980,-60.05627,-3.51735,0.49401
0.51080,-60.05703,-3.52517,0.49510
0.51180,-60.05779,-3.53292,0.49618
0.51200,-60.05779,-3.53292,0.49618
0.51280,-60.05855,-3.54051,0.49724
0.51380,-60.05931,-3.54797,0.49828
0.51480,-60.06007,-3.55544,0.49932
0.51580,-60.06082,-3.56301,0.50037
0.51680,-60.06157,-3.57067,0.50144
0.51780,-60.06232,-3.57831,0.50250
0.51880,-60.06306,-3.58579,0.50354
0.51980,-60.06381,-3.59305,0.50455
0.52080,-60.06455,-3.60010,0.50553
0.52180,-60.06529,-3.60706,0.50650
0.52280,-60.06603,-3.61409,0.50748
0.52380,-60.06677,-3.62124,0.50847
0.52480,-60.06751,-3.62847,0.50948
0.52580,-60.06825,-3.63568,0.51048
0.52680,-60.06900,-3.64277,0.51147
0.52780,-60.06974,-3.64977,0.51244
0.52800,-60.06974,-3.64977,0.51244
0.52880,-60.07048,-3.65672,0.51340
0.52980,-60.07122,-3.66368,0.51437
0.53080,-60.07197,-3.67074,0.51535
0.53180,-60.07271,-3.67795,0.51636
0.53280,-60.07345,-3.68527,0.51738
0.53380,-60.07419,-3.69263,0.51840
0.53480,-60.07493,-3.69994,0.51942
0.53580,-60.07566,-3.70722,0.52043
0.53680,-60.07640,-3.71451,0.52144
0.53780,-60.07713,-3.72190,0.52247
0.53880,-60.07785,-3.72942,0.52352
0.53980,-60.07857,-3.73702,0.52457
0.54080,-60.07930,-3.74458,0.52563
0.54180,-60.08002,-3.75199,0.52666
0.54280,-60.08073,-3.75922,0.52766
0.54380,-60.08145,-3.76634,0.52865
0.54400,-60.08145,-3.76634,0.52865
0.54480,-60.08216,-3.77347,0.52964
0.54580,-60.08287,-3.78060,0.53063
0.54680,-60.08358,-3.78768,0.53162
0.54780,-60.08429,-3.79459,0.53258
0.54880,-60.08500,-3.80127,0.53351
0.54980,-60.08571,-3.80771,0.53440
0.55080,-60.08642,-3.81404,0.53528
0.55180,-60.08712,-3.82041,0.53616
0.55280,-60.08784,-3.82694,0.53707
0.55380,-60.08855,-3.83362,0.53800
0.55480,-60.08926,-3.84031,0.53893
0.55580,-60.08997,-3.84693,0.53985
0.55680,-60.09068,-3.85348,0.54076
0.55780,-60.09139,-3.86006,0.54167
0.55880,-60.09209,-3.86679,0.54261
0.55980,-60.09281,-3.87374,0.54357
0.56000,-60.09281,-3.87374,0.54357
0.56080,-60.09352,-3.88092,0.54457
0.56180,-60.09423,-3.88826,0.54559
0.56280,-60.09493,-3.89565,0.54662
0.56380,-60.09565,-3.90300,0.54764
0.56480,-60.09636,-3.91032,0.54866
0.56580,-60.09706,-3.91766,0.54968
0.56680,-60.09778,-3.92511,0.55071
0.56780,-60.09849,-3.93271,0.55177
0.56880,-60.09919,-3.94043,0.55284
0.56980,-60.09990,-3.94816,0.55392
0.57080,-60.10062,-3.95575,0.55497
0.57180,-60.10133,-3.96309,0.55599
0.57280,-60.10203,-3.97023,0.55698
0.57380,-60.10274,-3.97727,0.55796
0.57480,-60.10346,-3.98434,0.55894
0.57580,-60.10416,-3.99146,0.55993
0.57600,-60.10416,-3.99146,0.55993
0.57680,-60.10487,-3.99855,0.56091
0.57780,-60.10559,-4.00550,0.56188
0.57880,-60.10630,-4.01221,0.56281
0.57980,-60.10700,-4.01868,0.56371
0.58080,-60.10771,-4.02499,0.56458
0.58180,-60.10843,-4.03130,0.56546
0.58280,-60.10913,-4.03775,0.56635
0.58380,-60.10984,-4.04437,0.56727
0.58480,-60.11056,-4.05107,0.56820
0.58580,-60.11127,-4.05773,0.56913
0.58680,-60.11197,-4.06430,0.57004
0.58780,-60.11268,-4.07082,0.57094
0.58880,-60.11340,-4.07735,0.57185
