Text Inputs : Specimen label,"S1.104M_WoLS"
Notes : Specimen note 1,"Sheep, Medial, Without LS. SS316 indenter. 
Issues with PID - had to abort the test."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.80000,-61.15848,-5.48796,0.77091
0.80280,-61.15906,-5.49684,0.77214
0.81080,-61.16046,-5.51377,0.77449
0.81600,-61.16127,-5.51940,0.77527
0.81880,-61.16175,-5.52128,0.77552
0.82680,-61.16295,-5.52297,0.77573
0.83200,-61.16367,-5.52301,0.77573
0.83480,-61.16408,-5.52294,0.77571
0.84580,-61.16546,-5.52133,0.77545
0.84800,-61.16570,-5.52092,0.77539
0.85380,-61.16642,-5.51931,0.77515
0.86380,-61.16758,-5.51737,0.77486
0.86400,-61.16758,-5.51737,0.77486
0.87380,-61.16869,-5.51687,0.77476
0.88000,-61.16934,-5.51533,0.77453
0.88180,-61.16956,-5.51461,0.77443
0.89180,-61.17063,-5.51454,0.77440
0.89600,-61.17106,-5.51585,0.77457
0.90680,-61.17212,-5.51875,0.77496
0.91200,-61.17259,-5.51914,0.77501
0.91580,-61.17297,-5.51947,0.77504
0.92780,-61.17408,-5.52000,0.77510
0.92800,-61.17408,-5.52000,0.77510
0.93880,-61.17505,-5.52063,0.77517
0.94400,-61.17550,-5.52066,0.77516
0.94980,-61.17603,-5.52069,0.77515
0.96000,-61.17691,-5.52219,0.77535
0.96380,-61.17726,-5.52315,0.77548
0.97600,-61.17819,-5.52381,0.77555
0.97680,-61.17827,-5.52373,0.77554
0.99180,-61.17941,-5.52527,0.77573
0.99200,-61.17941,-5.52527,0.77573
1.00480,-61.18040,-5.52429,0.77557
1.00800,-61.18063,-5.52399,0.77553
1.02380,-61.18177,-5.52582,0.77576
1.02400,-61.18177,-5.52582,0.77576
1.04000,-61.18255,-5.51616,0.77439
1.05600,-61.18299,-5.49006,0.77072
1.07200,-61.18319,-5.45311,0.76552
1.08800,-61.18322,-5.41091,0.75960
1.10400,-61.18322,-5.36620,0.75332
1.12000,-61.18298,-5.31824,0.74659
1.12380,-61.18284,-5.30457,0.74468
1.13580,-61.18227,-5.25842,0.73821
1.13600,-61.18227,-5.25842,0.73821
1.14780,-61.18152,-5.20298,0.73044
1.15200,-61.18124,-5.18364,0.72773
1.15780,-61.18077,-5.15441,0.72364
1.16580,-61.18008,-5.11371,0.71794
1.16800,-61.17990,-5.10311,0.71645
1.17680,-61.17910,-5.05495,0.70970
1.18400,-61.17843,-5.01658,0.70433
1.18680,-61.17814,-4.99989,0.70199
1.19280,-61.17750,-4.96663,0.69733
1.19780,-61.17686,-4.93817,0.69335
1.20000,-61.17659,-4.92629,0.69168
1.20280,-61.17615,-4.90787,0.68911
